ID    NAME                    TYPE
360   AsRerankingModelV4      Entity
361   MockRerankingModelV3    Entity
362   MockRerankingModelV4    Entity
363   RerankingModelV3ToV4Pa  Rule
364   ImageModelV2            Entity
365   ImageModelV3            Entity
366   V2ToV3CompatibilityWar  Caveat
367   AsImageModelV3Test      Entity
368   RerankingModelV3        Entity
369   RerankingModelV4        Entity
370   RerankingModelProxyAda  Caveat
371   AsTranscriptionModelV4  Entity
372   MockTranscriptionModel  Entity
373   MockTranscriptionModel  Entity
374   MockTranscriptionModel  Entity
375   TranscriptionModelVers  Rule
376   AsTranscriptionModelV3  Entity
377   TranscriptionModelV2    Entity
378   TranscriptionModelV3    Entity
379   V2ToV3TranscriptionPro  Caveat
380   TranscriptionModelVers  Caveat
381   ResolveModel            Entity
382   GetGlobalProvider       Entity
383   GatewayProvider         Entity
384   UnsupportedModelVersio  Entity
385   ModelVersionAdapters    Entity
386   VersionV2V3V4Only       Caveat
387   VideoModelExperimental  Caveat
388   AsVideoModelV4          Entity
389   VideoModelV3ToV4ProxyA  Caveat
390   MockVideoModelV3        Entity
391   MockVideoModelV4        Entity
392   VideoModelVersionAdapt  Rule
393   EmbeddingModelVersionA  Caveat
394   ProxyBasedVersionUpgra  Rule
395   AsSpeechModelV3         Entity
396   SpeechModelV2ToV3Compa  Caveat
397   EmbeddingModelVersionU  Rule
398   AsEmbeddingModelV4Test  Entity
399   SpeechModelVersionProx  Caveat
400   LanguageModelV2ToV3Con  Caveat
401   MockLanguageModelV2     Entity
402   V2UsageToV3UsageMappin  Rule
403   ModelVersionAdaptation  Caveat
404   GlobalDefaultProvider   Entity
405   GatewayFallback         Rule
406   CustomProvider          Entity
407   UnsupportedVersionErro  Caveat
408   AsProviderV3            Entity
409   ProviderVersionUpgrade  Rule
410   ProviderV2ToV3Caveat    Caveat
411   V2ToV4ConversionChain   Caveat
412   AsLanguageModelV4Test   Entity
413   SpeechModelV3ProxyAdap  Caveat
414   SpeechModelV3           Entity
415   SpeechModelV2           Entity
416   LanguageModelVersionPr  Caveat
417   LanguageModelV4         Entity
418   EmbeddingModelV3        Entity
419   EmbeddingModelV2        Entity
420   V2ToV3ProxyAdapter      Caveat
421   ErrorIndex              Entity
422   AiSdkProvider           Entity
423   AiSdkProviderUtils      Entity
424   CoreErrorClasses        Entity
425   ToolErrors              Entity
426   GenerationErrors        Entity
427   ErrorReexportPattern    Rule
428   InvalidStreamPartError  Entity
429   AISDKError              Entity
430   ErrorMarkerPattern      Rule
431   NoObjectGeneratedError  Rule
432   NoObjectGeneratedError  Caveat
433   ToolCallRepairError     Entity
434   ToolCallRepairErrorMar  Rule
435   ModelVersionMustBeV2    Rule
436   NoSpeechGeneratedError  Entity
437   SpeechModelResponseMet  Entity
438   NoTranscriptGeneratedE  Entity
439   TranscriptionModelResp  Entity
440   NoVideoGeneratedError   Entity
441   VideoModelResponseMeta  Entity
442   DeprecatedIsNoVideoGen  Caveat
443   VerifyNoObjectGenerate  Entity
444   TestUtilityOnly         Caveat
445   InvalidArgumentError    Entity
446   MissingToolResultsErro  Entity
447   NoImageGeneratedError   Entity
448   ImageModelResponseMeta  Entity
449   NoImageGeneratedErrorM  Rule
450   UIMessageStreamError    Entity
451   UIMessageStreamChunkSe  Caveat
452   NoSuchToolErrorMarkerP  Rule
453   NoOutputGeneratedError  Entity
454   AiSdkPackage            Entity
455   UnifiedProviderArchite  Rule
456   AiSdkReact              Entity
457   VercelAiGateway         Entity
458   MaxOutputTokensCaveat   Caveat
459   AiPackage               Entity
